,Country,Region,Population,Average Government Expenditure as % of GDP,Average percentage change in GDP per capita USD,start_year,end_year
0,Chile,Americas,1540246.0,6.228984576231629,1.1530216669918802,1850,1855
1,Spain,Europe,15263826.0,10.218791365621145,2.8900474966663703,1850,1855
2,Sweden,Europe,3639423.0,5.122499233933587,0.8645163339069617,1850,1855
3,United Kingdom,Europe,28018862.0,9.774485883307056,2.7487985477310906,1850,1855
4,United States,Americas,27366540.0,2.279044056580217,2.9540678434078993,1850,1855
5,Chile,Americas,1567639.0,6.451408709812715,0.5718127943197482,1851,1856
6,Spain,Europe,15338812.0,11.220546734896232,1.3789457713599695,1851,1856
7,Sweden,Europe,3675911.0,5.139851342487551,1.071480804359779,1851,1856
8,United Kingdom,Europe,28189300.0,9.574470604515275,3.0678269039117856,1851,1856
9,United States,Americas,28188865.0,2.5415607540549026,2.5234761127210614,1851,1856
10,Chile,Americas,1595516.0,6.659211673748797,0.8975924513896061,1852,1857
11,Spain,Europe,15414166.0,12.135476251154783,-0.04038682580927988,1852,1857
12,Sweden,Europe,3712765.0,5.160949261707577,2.136288930278001,1852,1857
13,United Kingdom,Europe,28360774.0,9.379662768368872,2.351896828984299,1852,1857
14,United States,Americas,29035895.0,2.782668794275029,0.9651651154315122,1852,1857
15,Chile,Americas,1623887.0,6.852312091337882,2.097372659111403,1853,1858
16,Spain,Europe,15489891.0,12.9632421029073,0.10736703354337074,1853,1858
17,Sweden,Europe,3749989.0,5.185779958478829,2.0636337835179797,1853,1858
18,United Kingdom,Europe,28533291.0,9.190146415753107,0.7833450703882505,1853,1858
19,United States,Americas,29908371.0,3.002277812028657,-0.2964851103133448,1853,1858
20,Chile,Americas,1652559.0,7.030608445403527,2.405421678776136,1854,1859
21,Spain,Europe,15561625.0,13.703387076384152,0.8647514904539166,1854,1859
22,Sweden,Europe,3786484.0,5.21433551308038,2.5869798447650227,1854,1859
23,United Kingdom,Europe,28719933.0,9.006012836160808,0.617054135145465,1854,1859
24,United States,Americas,30763983.0,3.2002679913881398,0.15761992467882457,1854,1859
25,Chile,Americas,1681533.0,7.194208960488211,2.2221870371497943,1855,1860
26,Spain,Europe,15629333.0,14.356408149800457,0.4889276073857207,1855,1860
27,Sweden,Europe,3822233.0,5.246622142323691,1.6096313833667653,1855,1860
28,United Kingdom,Europe,28920894.0,8.827168326101186,1.5625413379073505,1855,1860
29,United States,Americas,31601240.0,3.3767689562293293,1.1434017229227456,1855,1860
30,Chile,Americas,1710812.0,7.343161458087409,2.0083035058735987,1856,1861
31,Spain,Europe,15692979.0,14.922444203474592,1.6348899449897125,1856,1861
32,Sweden,Europe,3857220.0,5.282661398536435,0.9536752777098467,1856,1861
33,United Kingdom,Europe,29136372.0,8.65354092129248,0.26121091148969544,1856,1861
34,United States,Americas,32418583.0,3.5318220051520473,0.2787429231498173,1856,1861
35,Chile,Americas,1740397.0,7.477411409339609,1.1801179538767448,1857,1862
36,Spain,Europe,15752530.0,15.4013165926427,2.1286549238496333,1857,1862
37,Sweden,Europe,3891427.0,5.322433432300406,-0.21731211446926135,1857,1862
38,United Kingdom,Europe,29366564.0,8.485205000014409,-0.7840198967718681,1857,1862
39,United States,Americas,33214384.0,3.6653760316082664,1.2086228267864962,1857,1862
40,Chile,Americas,1770288.0,7.596884144908853,1.1259547506198242,1858,1863
41,Spain,Europe,15807948.0,15.79272727026077,2.1928204288110775,1858,1863
42,Sweden,Europe,3924837.0,5.365923507591302,0.4182176807683158,1858,1863
43,United Kingdom,Europe,29611672.0,8.322242189154268,1.6096181777942542,1858,1863
44,United States,Americas,33986941.0,3.777350478334253,2.3443712749598244,1858,1863
45,Chile,Americas,1800691.0,7.701661041497136,1.4274085623579635,1859,1864
46,Spain,Europe,15863561.0,16.097014047818295,0.9314378085698349,1859,1864
47,Sweden,Europe,3958533.0,5.413144657523959,0.04900825707717882,1859,1864
48,United Kingdom,Europe,29858827.0,8.1645684478268,1.3189294166072552,1859,1864
49,United States,Americas,34777462.0,3.8678357105419465,2.395805909087385,1859,1864
50,Chile,Americas,1831612.0,7.791763072759449,1.4533699166475955,1860,1865
51,Spain,Europe,15919369.0,16.31415663890802,-0.9117226571655213,1860,1865
52,Sweden,Europe,3992519.0,5.464125250729421,0.06252485143849018,1860,1865
53,United Kingdom,Europe,30108044.0,8.012121474355789,1.4075660908801835,1860,1865
54,United States,Americas,35586364.0,3.936833768167256,0.49910212366424567,1860,1865
55,Chile,Americas,1863062.0,7.867162557674765,2.0564445031791623,1861,1866
56,Spain,Europe,15975374.0,16.444135565491713,0.21138690429108653,1861,1866
57,Sweden,Europe,4026796.0,5.518838621486111,0.5214544769182838,1861,1866
58,United Kingdom,Europe,30359341.0,7.864965984415416,2.159598885387619,1861,1866
59,United States,Americas,36414073.0,3.9843328033260668,0.7335557280606642,1861,1866
60,Chile,Americas,1895049.0,7.927811674747609,1.0886729313878174,1862,1867
61,Spain,Europe,16031576.0,16.486811947251002,-0.19763261221072526,1862,1867
62,Sweden,Europe,4061368.0,5.577263217466354,1.449182159187492,1862,1867
63,United Kingdom,Europe,30612735.0,7.723173942287431,3.1518660660404896,1862,1867
64,United States,Americas,37261027.0,4.010291517418557,0.930594632434194,1862,1867
65,Chile,Americas,1927582.0,7.973764952839488,1.1480038240319335,1863,1868
66,Spain,Europe,16087976.0,16.442364428949748,-3.4510022675493057,1863,1868
67,Sweden,Europe,4096237.0,5.639418888088357,-1.3155053820187312,1863,1868
68,United Kingdom,Europe,30868245.0,7.586670969692122,2.1679428805693046,1863,1868
69,United States,Americas,38127674.0,4.014761016992755,0.047829947252790994,1863,1868
70,Chile,Americas,1960439.0,8.005016517764918,1.8070223095988291,1864,1869
71,Spain,Europe,16146102.0,16.31061355745506,-3.2498085124662746,1864,1869
72,Sweden,Europe,4132102.0,5.705340818286538,-0.2750513182280456,1864,1869
73,United Kingdom,Europe,31134963.0,7.455404427558805,1.657923461983466,1864,1869
74,United States,Americas,39007998.0,3.9977040833206554,0.003043082180655965,1864,1869
75,Argentina,Americas,1793208.0,8.56,,1865,1870
76,Belgium,Europe,5094086.0,4.8,,1865,1870
77,Canada,Americas,3761273.0,4.94,,1865,1870
78,Chile,Americas,1993622.0,8.021565536343351,1.5480875558399898,1865,1870
79,France,Europe,38186983.0,13.24,,1865,1870
80,India,Asia,251115205.0,6.26,,1865,1870
81,Italy,Europe,27745148.0,9.85,,1865,1870
82,Spain,Europe,16205967.0,16.091699021454342,-1.675011329405458,1865,1870
83,Sweden,Europe,4168979.0,5.774995526035945,1.8840696987203875,1865,1870
84,United Kingdom,Europe,31413071.0,7.3294293689561245,2.1107628098125986,1865,1870
85,United States,Americas,39902173.0,3.9591481271820563,0.6847475511171508,1865,1870
86,Argentina,Americas,1850807.0,8.531223034672518,,1866,1871
87,Belgium,Europe,5134332.0,4.832096295501469,,1866,1871
88,Canada,Americas,3811061.0,5.115470682242117,,1866,1871
89,Chile,Americas,2027132.0,8.023391034919792,0.8031361494589806,1866,1871
90,France,Europe,38257751.0,13.299427888566237,,1866,1871
91,India,Asia,251636609.0,6.35977273844217,,1866,1871
92,Italy,Europe,27908950.0,9.835560723474773,,1866,1871
93,Spain,Europe,16267583.0,15.785641107354849,-1.2605654642439168,1866,1871
94,Sweden,Europe,4206884.0,5.848354642705535,3.0723008535907548,1866,1871
95,United Kingdom,Europe,31702755.0,7.208808095560298,1.5486878103954416,1866,1871
96,United States,Americas,40810375.0,3.8990911086410516,1.412104348342793,1866,1871
97,Argentina,Americas,1910088.0,8.502859329459335,,1867,1872
98,Belgium,Europe,5176056.0,4.869650885171668,,1867,1872
99,Canada,Americas,3863995.0,5.27842742510639,,1867,1872
100,Chile,Americas,2060971.0,8.01052069451527,3.0171341282726605,1867,1872
101,France,Europe,38317571.0,13.350057002433486,,1867,1872
102,India,Asia,252064885.0,6.452764077993021,,1867,1872
103,Italy,Europe,28068339.0,9.832507855134219,,1867,1872
104,Spain,Europe,16330962.0,15.392459293194811,2.1430678225310373,1867,1872
105,Sweden,Europe,4245832.0,5.925444834016883,3.1949599886191438,1867,1872
106,United Kingdom,Europe,32004200.0,7.093475891697146,1.6686274338922535,1867,1872
107,United States,Americas,41732783.0,3.817544875581754,1.1478963306925305,1867,1872
108,Argentina,Americas,1971098.0,8.47487158793479,,1868,1873
109,Belgium,Europe,5219281.0,4.9127357910849945,,1868,1873
110,Canada,Americas,3920147.0,5.429046280231175,,1868,1873
111,Chile,Americas,2095139.0,7.982921793103816,3.617882362211149,1868,1873
112,France,Europe,38366403.0,13.391923525716503,,1868,1873
113,India,Asia,252399639.0,6.539075838595317,,1868,1873
114,Italy,Europe,28223256.0,9.840880139020669,,1868,1873
115,Spain,Europe,16396117.0,14.91181495911571,7.946359865433936,1868,1873
116,Sweden,Europe,4285838.0,6.006308101207782,5.855725756679382,1868,1873
117,United Kingdom,Europe,32317597.0,6.9833897809015255,1.1320166934659026,1868,1873
118,United States,Americas,42669573.0,3.7144329506122453,1.3945799754803634,1868,1873
119,Argentina,Americas,2034058.0,8.447312704426501,,1869,1874
120,Belgium,Europe,5262866.0,4.961259154875655,,1869,1874
121,Canada,Americas,3977115.0,5.567060204463521,,1869,1874
122,Chile,Americas,2129870.0,7.940620345345363,1.1215198226396117,1869,1874
123,France,Europe,38415294.0,13.424962336915403,,1869,1874
124,India,Asia,252734813.0,6.618554324824162,,1869,1874
125,Italy,Europe,28379027.0,9.86064205085818,,1869,1874
126,Spain,Europe,16461531.0,14.344006960530578,4.715859747629634,1869,1874
127,Sweden,Europe,4326221.0,6.090904145949909,5.018626026581097,1869,1874
128,United Kingdom,Europe,32634063.0,6.87859515363654,1.2349093703558545,1869,1874
129,United States,Americas,43627383.0,3.589822003176238,0.18449325338346423,1869,1874
130,Argentina,Americas,2099028.0,8.420174879983493,2.091042479591798,1870,1875
131,Belgium,Europe,5306815.0,5.015230894689348,1.1628577308073051,1870,1875
132,Canada,Americas,4034909.0,5.692514693560725,0.947006839814275,1870,1875
133,Chile,Americas,2165173.0,7.883622225425403,1.977226888081769,1870,1875
134,France,Europe,38464245.0,13.449187904722748,3.658862876254183,1870,1875
135,India,Asia,253070405.0,6.69122547442062,-0.981169889491833,1870,1875
136,Italy,Europe,28535657.0,9.891791980763562,-0.5750530210404592,1870,1875
137,Spain,Europe,16527207.0,13.689214750572305,4.365877665041862,1870,1875
138,Sweden,Europe,4366984.0,6.179197783308844,1.3754561475451155,1870,1875
139,United Kingdom,Europe,32953628.0,6.7791446489728715,0.6931642787773251,1870,1875
140,United States,Americas,44606685.0,3.443749252001737,1.3548265751904953,1870,1875
141,Argentina,Americas,2166073.0,8.365697234231234,1.8014326192112007,1871,1876
142,Belgium,Europe,5351131.0,5.120431138019936,1.3295412438951448,1871,1876
143,Canada,Americas,4093544.0,5.949667453321902,-1.5109023902395435,1871,1876
144,Chile,Americas,2201059.0,7.821325631709807,1.5953243278008467,1871,1876
145,France,Europe,38513254.0,13.502040835007913,1.3610835811034017,1871,1876
146,India,Asia,253406417.0,6.839950470819343,-1.0510675518839108,1871,1876
147,Italy,Europe,28693149.0,9.948384111918017,-1.176385215968141,1871,1876
148,Spain,Europe,16593144.0,12.964304458840568,2.6206848992723453,1871,1876
149,Sweden,Europe,4408132.0,6.269990442259695,1.914490995389273,1871,1876
150,United Kingdom,Europe,33276322.0,6.685088676887433,0.5948384788845429,1871,1876
151,United States,Americas,45607961.0,3.279822571566837,0.6260615897673238,1871,1876
152,Argentina,Americas,2235260.0,8.312437336637812,2.828808646679297,1872,1877
153,Belgium,Europe,5395817.0,5.242091684634729,0.22326776006559523,1872,1877
154,Canada,Americas,4153029.0,6.16931000382947,0.04428852465863553,1872,1877
155,Chile,Americas,2237535.0,7.772568780064279,-0.12808857928568784,1872,1877
156,France,Europe,38562323.0,13.528461265336924,0.47101449275362306,1872,1877
157,India,Asia,253742849.0,6.968352677117413,-1.097904270636385,1872,1877
158,Italy,Europe,28851509.0,10.039239328818956,0.5964583180502503,1872,1877
159,Spain,Europe,16659345.0,12.20297642810464,2.0895169136135605,1872,1877
160,Sweden,Europe,4449667.0,6.360853323044791,1.0032156500995937,1872,1877
161,United Kingdom,Europe,33602176.0,6.596606006162744,0.5475022883228542,1872,1877
162,United States,Americas,46631704.0,3.1052366623608556,0.4415353994114124,1872,1877
163,Argentina,Americas,2306657.0,8.260418351606779,0.46848432471103596,1873,1878
164,Belgium,Europe,5440877.0,5.380142067986317,0.6722855247041437,1873,1878
165,Canada,Americas,4213379.0,6.351376451438086,-2.4750537765776315,1873,1878
166,Chile,Americas,2274613.0,7.756147700410364,-0.7870126773624952,1873,1878
167,France,Europe,38611451.0,13.528461265336924,1.7558746736292452,1873,1878
168,India,Asia,254079702.0,7.076392107566483,-1.0478780096153284,1873,1878
169,Italy,Europe,29010741.0,10.164284965912787,0.8670213984778119,1873,1878
170,Spain,Europe,16725809.0,11.439607006864032,-0.4244696767910616,1873,1878
171,Sweden,Europe,4491594.0,6.449281965156277,-0.0896031594950264,1873,1878
172,United Kingdom,Europe,33931221.0,6.513942712076163,0.027972434023713078,1873,1878
173,United States,Americas,47678418.0,2.927348076349119,0.30735980314704037,1873,1878
174,Argentina,Americas,2380335.0,8.20966514342191,0.4840672599483353,1874,1879
175,Belgium,Europe,5487623.0,5.534534273358439,0.1893329630820073,1874,1879
176,Canada,Americas,4271701.0,6.495749428388845,-1.1854098380026223,1874,1879
177,Chile,Americas,2311789.0,7.79088984514469,2.6062432137016023,1874,1879
178,France,Europe,38667543.0,13.502016712264746,-1.8906340895869689,1874,1879
179,India,Asia,254760858.0,7.164000882204706,-0.9164240607293039,1874,1879
180,Italy,Europe,29178818.0,10.323495193837958,-0.1593572173627944,1874,1879
181,Spain,Europe,16796632.0,10.70854645155143,0.4476143818173872,1874,1879
182,Sweden,Europe,4529401.0,6.532770261256669,0.21787105548247254,1874,1879
183,United Kingdom,Europe,34250722.0,6.437352697183944,-0.4544658902196397,1874,1879
184,United States,Americas,48749140.0,2.753503861439332,3.05369588096156,1874,1879
185,Argentina,Americas,2456365.0,8.517990615023018,-0.3617418233167835,1875,1880
186,Austria,Europe,4943751.0,14.2153,,1875,1880
187,Belgium,Europe,5536082.0,5.885193838352056,1.1497059054901992,1875,1880
188,Brazil,Americas,11834544.0,24.1936,,1875,1880
189,Canada,Americas,4327935.0,6.865936778156694,0.2579910062886803,1875,1880
190,Chile,Americas,2349056.0,7.895563929977976,3.416130493991787,1875,1880
191,Denmark,Europe,2082563.0,9.86905,,1875,1880
192,France,Europe,38730622.0,14.033497115312912,-0.8934124964659329,1875,1880
193,Germany,Europe,44110884.0,11.271455,,1875,1880
194,Greece,Europe,4067664.0,27.32366,,1875,1880
195,India,Asia,255789440.0,7.365410337248117,-0.5806342241284179,1875,1880
196,Italy,Europe,29355842.0,11.214571910803253,0.4655528721246105,1875,1880
197,Japan,Asia,36977992.0,1.081405,,1875,1880
198,Netherlands,Europe,4040346.0,12.01584,,1875,1880
199,New Zealand,Oceania,510014.0,12.882,,1875,1880
200,Norway,Europe,1916359.0,0.833333,,1875,1880
201,Portugal,Europe,4613680.0,9.78885,,1875,1880
202,Russia,Europe,54112425.0,16.64017,,1875,1880
203,Spain,Europe,16871852.0,10.501919209994622,2.0822912791607484,1875,1880
204,Sweden,Europe,4563030.0,6.733022177074605,0.4820895962381888,1875,1880
205,United Kingdom,Europe,34560483.0,6.742949830447425,-0.0039771085941775475,1875,1880
206,United States,Americas,49844419.0,2.72474941870357,4.7078060785478515,1875,1880
207,Argentina,Americas,2534824.0,8.905242988728276,-0.5504168399032894,1876,1881
208,Austria,Europe,4987664.0,15.614265,,1876,1881
209,Belgium,Europe,5586281.0,6.24751723939242,1.1250988564415687,1876,1881
210,Brazil,Americas,12057427.0,28.290325000000003,,1876,1881
211,Canada,Americas,4382020.0,7.01714058831557,5.016507727646342,1876,1881
212,Chile,Americas,2386406.0,8.13585719087717,4.891579553771317,1876,1881
213,Denmark,Europe,2102992.0,8.4089,,1876,1881
214,France,Europe,38800708.0,14.608272824686333,1.6343108148691154,1876,1881
215,Germany,Europe,44555169.0,11.7889325,,1876,1881
216,Greece,Europe,4109855.0,28.564645,,1876,1881
217,India,Asia,257168597.0,7.548807133514297,-0.015376298894282936,1876,1881
218,Italy,Europe,29541914.0,12.539769972421508,1.3876342134780506,1876,1881
219,Japan,Asia,37271015.0,1.0882275,,1876,1881
220,Netherlands,Europe,4086642.0,12.322735000000002,,1876,1881
221,New Zealand,Oceania,529338.0,12.95975,,1876,1881
222,Norway,Europe,1928804.0,4.0415665,,1876,1881
223,Portugal,Europe,4649485.0,9.696815,,1876,1881
224,Russia,Europe,54604152.0,17.34037,,1876,1881
225,Spain,Europe,16951508.0,10.939717466257704,2.2936056699215834,1876,1881
226,Sweden,Europe,4592421.0,6.880461197710915,0.0022726334681077986,1876,1881
227,United Kingdom,Europe,34860309.0,7.189058835939221,0.5913567979798939,1876,1881
228,United States,Americas,50964818.0,2.705329812967912,5.212370925955283,1876,1881
229,Argentina,Americas,2615789.0,9.696662301147201,1.9861281553691112,1877,1882
230,Austria,Europe,5031834.0,15.258143333333331,,1877,1882
231,Belgium,Europe,5638248.0,6.656585329395166,1.5151448005282697,1877,1882
232,Brazil,Americas,12284523.0,29.81783,,1877,1882
233,Canada,Americas,4433891.0,7.264277828554394,4.62082532295069,1877,1882
234,Chile,Americas,2423833.0,8.711487117926099,8.177355490442292,1877,1882
235,Denmark,Europe,2123627.0,7.923581666666666,,1877,1882
236,Finland,Europe,2105853.0,6.86274,,1877,1882
237,France,Europe,38877824.0,15.117756561067834,1.645200701208518,1877,1882
238,Germany,Europe,44992270.0,12.396135000000001,,1877,1882
239,Greece,Europe,4152465.0,25.987536666666667,,1877,1882
240,India,Asia,258901501.0,7.7192984704489085,0.6704511046811623,1877,1882
241,Italy,Europe,29737139.0,13.888651174600385,1.289118333688899,1877,1882
242,Japan,Asia,37580207.0,1.1197806666666665,,1877,1882
243,Netherlands,Europe,4133595.0,12.574376666666666,,1877,1882
244,New Zealand,Oceania,545917.0,12.622266666666667,,1877,1882
245,Norway,Europe,1938985.0,5.020999333333333,,1877,1882
246,Portugal,Europe,4687749.0,9.425913333333334,,1877,1882
247,Russia,Europe,55100347.0,16.483810000000002,,1877,1882
248,Spain,Europe,17035639.0,10.818301091322775,0.670177566807264,1877,1882
249,Sweden,Europe,4617513.0,6.914184510426732,-0.27901310382675515,1877,1882
250,United Kingdom,Europe,35149998.0,7.673613141357994,1.1342289175934006,1877,1882
251,United States,Americas,52110912.0,2.643799993402812,5.964161230690617,1877,1882
252,Argentina,Americas,2699340.0,10.43207618718312,5.728370985888298,1878,1883
253,Austria,Europe,5076261.0,15.12365,,1878,1883
254,Belgium,Europe,5692009.0,7.110051017613216,1.0951610110182486,1878,1883
255,Brazil,Americas,12515913.0,29.7767025,,1878,1883
256,Canada,Americas,4483484.0,7.912606717299451,5.642720456561774,1878,1883
257,Chile,Americas,2461328.0,9.479397017194882,7.51350501003234,1878,1883
258,Denmark,Europe,2144469.0,7.62471375,,1878,1883
259,Finland,Europe,2136348.0,7.05882,,1878,1883
260,France,Europe,38961992.0,15.694328501216745,1.8498612140626092,1878,1883
261,Germany,Europe,45421989.0,12.76729125,,1878,1883
262,Greece,Europe,4195498.0,25.3616375,,1878,1883
263,India,Asia,260991354.0,8.005547184670114,1.484590632244145,1878,1883
264,Italy,Europe,29941621.0,15.334215716541188,0.9799653122724816,1878,1883
265,Japan,Asia,37905801.0,1.17718625,,1878,1883
266,Netherlands,Europe,4181215.0,12.9062,,1878,1883
267,New Zealand,Oceania,559490.0,12.553425,,1878,1883
268,Norway,Europe,1946870.0,5.344716249999999,,1878,1883
269,Portugal,Europe,4728508.0,9.4437775,,1878,1883
270,Russia,Europe,55601049.0,15.9069575,,1878,1883
271,Spain,Europe,17124285.0,11.010735431689739,2.9356624668627207,1878,1883
272,Sweden,Europe,4638245.0,6.946642784191006,2.102860025515434,1878,1883
273,United Kingdom,Europe,35429349.0,8.059524535332104,1.3133619493110738,1878,1883
274,United States,Americas,53283291.0,2.636562660613967,5.492141902845726,1878,1883
275,Argentina,Americas,2785560.0,11.163883185708656,6.203855981579176,1879,1884
276,Austria,Europe,5121081.0,16.264812,,1879,1884
277,Belgium,Europe,5746284.0,7.7168456235096174,1.0160083975447298,1879,1884
278,Brazil,Americas,12751661.0,31.420136000000003,,1879,1884
279,Canada,Americas,4533631.0,8.419860117885014,5.2523757306530605,1879,1884
280,Chile,Americas,2499399.0,10.094905714031128,4.405606691111679,1879,1884
281,Denmark,Europe,2165515.0,7.4156238000000005,,1879,1884
282,Finland,Europe,2167285.0,7.254899999999999,,1879,1884
283,France,Europe,39046339.0,16.318250962855412,2.827907637353597,1879,1884
284,Germany,Europe,45855801.0,13.047993,,1879,1884
285,Greece,Europe,4238976.0,25.695826,,1879,1884
286,India,Asia,263098048.0,8.113595461371924,2.381340264180105,1879,1884
287,Italy,Europe,30147508.0,17.018363059705173,0.619415415857798,1879,1884
288,Japan,Asia,38234217.0,1.1884066,,1879,1884
289,Netherlands,Europe,4229384.0,13.034505999999999,,1879,1884
290,New Zealand,Oceania,573401.0,12.64422,,1879,1884
291,Norway,Europe,1954788.0,5.6864252,,1879,1884
292,Portugal,Europe,4769622.0,9.541198,,1879,1884
293,Russia,Europe,56106300.0,15.930038,,1879,1884
294,Spain,Europe,17213392.0,11.349514828128251,4.9032961885754744,1879,1884
295,Sweden,Europe,4659071.0,6.997794812389549,0.5196413009357537,1879,1884
296,United Kingdom,Europe,35710919.0,8.527047499995069,1.701283723788345,1879,1884
297,United States,Americas,54482036.0,2.629815163731065,3.0692798209341454,1879,1884
298,Argentina,Americas,2874534.0,11.660185,10.615718304000318,1880,1885
299,Austria,Europe,5166297.0,16.213528333333333,1.080972872929138,1880,1885
300,Belgium,Europe,5801075.0,8.356976666666666,0.2659935040443173,1880,1885
301,Brazil,Americas,12991849.0,31.775356666666667,-0.24678090842334965,1880,1885
302,Canada,Americas,4584338.0,9.408346666666667,2.662759466577862,1880,1885
303,Chile,Americas,2538055.0,10.311666666666667,1.1909489953888608,1880,1885
304,Denmark,Europe,2186768.0,7.360580666666666,0.8670029795777445,1880,1885
305,Finland,Europe,2198670.0,7.6411750000000005,,1880,1885
306,France,Europe,39130866.0,17.018725,0.43093889149389053,1880,1885
307,Germany,Europe,46293746.0,13.339355833333334,1.9469757087201423,1880,1885
308,Greece,Europe,4282905.0,26.300331666666665,5.551478792607019,1880,1885
309,India,Asia,265221721.0,8.247727833333334,2.9374842304866045,1880,1885
310,Italy,Europe,30354809.0,18.405775000000002,0.6317425787515996,1880,1885
311,Japan,Asia,38565477.0,1.1356656666666667,2.9658453309905264,1880,1885
312,Netherlands,Europe,4278108.0,13.191471666666667,1.9074270134393734,1880,1885
313,New Zealand,Oceania,587658.0,12.760599999999998,-1.1555465693845646,1880,1885
314,Norway,Europe,1962737.0,5.938687166666667,-0.04988005266985507,1880,1885
315,Portugal,Europe,4811093.0,9.616628333333333,2.199475662162298,1880,1885
316,Russia,Europe,56616141.0,16.20150333333333,1.3129422445089967,1880,1885
317,Spain,Europe,17302962.0,11.856523333333334,1.6824703036399447,1880,1885
318,Sweden,Europe,4679989.0,7.093633129333333,1.3714200971570367,1880,1885
319,United Kingdom,Europe,35994727.0,9.053345,0.616855494475419,1880,1885
320,United States,Americas,55707739.0,2.6642111666666666,0.6336514303392571,1880,1885
321,Argentina,Americas,2966350.0,11.932788333333335,9.839287244378262,1881,1886
322,Austria,Europe,5211912.0,16.551883333333333,0.8711769436974359,1881,1886
323,Belgium,Europe,5856389.0,8.873691666666668,0.20977305867588836,1881,1886
324,Brazil,Americas,13236561.0,32.89935166666667,0.5279377818344733,1881,1886
325,Canada,Americas,4635612.0,9.492655000000001,0.1053869991270151,1881,1886
326,Chile,Americas,2577306.0,10.901666666666666,1.2390005454702546,1881,1886
327,Denmark,Europe,2208230.0,7.066980666666667,1.406658669031704,1881,1886
328,Finland,Europe,2230510.0,7.745594,,1881,1886
329,France,Europe,39215572.0,17.03237833333333,-0.02091003681466308,1881,1886
330,Germany,Europe,46735862.0,14.010631666666667,1.6146674172025977,1881,1886
331,Greece,Europe,4327290.0,26.357966666666666,5.310731158223954,1881,1886
332,India,Asia,267362508.0,8.180467499999999,1.8115021485656335,1881,1886
333,Italy,Europe,30563534.0,18.97656,1.0042155547949427,1881,1886
334,Japan,Asia,38899606.0,1.1632773333333333,4.333254358565157,1881,1886
335,Netherlands,Europe,4327393.0,13.641676666666667,1.781885230455269,1881,1886
336,New Zealand,Oceania,602269.0,13.0524,-1.3853834698921696,1881,1886
337,Norway,Europe,1970719.0,7.035655833333333,0.6891252421478722,1881,1886
338,Portugal,Europe,4852925.0,9.632605,2.6518096520112655,1881,1886
339,Russia,Europe,57130614.0,16.49324,-3.569583703679744,1881,1886
340,Spain,Europe,17392999.0,11.939491666666667,0.8420832800200895,1881,1886
341,Sweden,Europe,4701002.0,7.243281235833333,0.8018851617434208,1881,1886
342,United Kingdom,Europe,36280791.0,9.243916666666665,0.2257003549744141,1881,1886
343,United States,Americas,56961007.0,2.520945333333333,0.6023602806276296,1881,1886
344,Argentina,Americas,3061098.0,11.725716666666665,4.836114086968664,1882,1887
345,Austria,Europe,5257929.0,16.407213333333335,2.213058417107372,1882,1887
346,Belgium,Europe,5912231.0,9.27418,0.4587053420669518,1882,1887
347,Brazil,Americas,13485883.0,32.872503333333334,-1.3776930765514406,1882,1887
348,Canada,Americas,4687459.0,9.730906666666668,-0.15446560701006806,1882,1887
349,Chile,Americas,2617159.0,11.431666666666667,0.7148213112806001,1882,1887
350,Denmark,Europe,2229902.0,7.2611335,1.388103144515025,1882,1887
351,Finland,Europe,2262810.0,7.947716666666667,1.209593326381646,1882,1887
352,France,Europe,39300458.0,16.998408333333334,-0.9218354777333349,1882,1887
353,Germany,Europe,47182190.0,14.736148333333333,2.0628240467921133,1882,1887
354,Greece,Europe,4372134.0,26.012238333333332,3.5529692466060725,1882,1887
355,India,Asia,269520547.0,8.211488666666666,2.222373010594869,1882,1887
356,Italy,Europe,30773692.0,19.700051666666667,1.0493673072025134,1882,1887
357,Japan,Asia,39236630.0,1.1765493333333332,4.261453221600098,1882,1887
358,Netherlands,Europe,4377246.0,13.823196666666666,1.5255358312066836,1882,1887
359,New Zealand,Oceania,617244.0,13.346966666666667,-0.8893820443007039,1882,1887
360,Norway,Europe,1978733.0,7.1088933333333335,0.27980427443744293,1882,1887
361,Portugal,Europe,4895120.0,9.622845,2.465502195228564,1882,1887
362,Russia,Europe,57649761.0,16.379828333333332,2.8190164372992976,1882,1887
363,Spain,Europe,17483504.0,11.665951666666666,-0.5372611689836071,1882,1887
364,Sweden,Europe,4722109.0,7.492136633166666,0.929837200188226,1882,1887
365,United Kingdom,Europe,36569128.0,9.188595,0.41614241819830866,1882,1887
366,United States,Americas,58242459.0,2.4179273333333335,0.2462457651424499,1882,1887
367,Argentina,Americas,3158873.0,11.078248333333335,4.663031343911719,1883,1888
368,Austria,Europe,5304353.0,16.678303333333332,1.327587442913174,1883,1888
369,Belgium,Europe,5968605.0,9.581255,0.5104393781602568,1883,1888
370,Brazil,Americas,13739900.0,32.53802833333334,-1.814205726453777,1883,1888
371,Canada,Americas,4739885.0,9.775644999999999,1.422046742077252,1883,1888
372,Chile,Americas,2657625.0,11.265,-0.45452560064724423,1883,1888
373,Denmark,Europe,2251787.0,7.4340581666666665,0.7868780363296191,1883,1888
374,Finland,Europe,2295579.0,8.045756666666668,1.1626721060683298,1883,1888
375,France,Europe,39385524.0,16.95484,-0.5909333690503971,1883,1888
376,Germany,Europe,47632769.0,15.283148333333335,1.7047771260443456,1883,1888
